cwe,Accuracy,Precision,Recall,F1Score,AUC,AvgConfidence
CWE-119,0.65,1.0,0.65,0.788,0.0,0.855
CWE-20,0.375,1.0,0.375,0.545,0.0,0.844
CWE-269,0.0,0.0,0.0,0.0,0.0,0.9
CWE-287,1.0,1.0,1.0,1.0,0.0,0.85
CWE-362,0.231,1.0,0.231,0.375,0.0,0.877
CWE-787,0.727,1.0,0.727,0.842,0.0,0.827
CWE-94,0.667,1.0,0.667,0.8,0.0,0.833
