cwe,TruePositiveRate,TrueNegativeRate,FalsePositiveRate,FalseNegativeRate
CWE-119,0.65,0.0,0.0,0.35
CWE-20,0.375,0.0,0.0,0.625
CWE-269,0.0,0.0,0.0,1.0
CWE-287,1.0,0.0,0.0,0.0
CWE-362,0.231,0.0,0.0,0.769
CWE-787,0.727,0.0,0.0,0.273
CWE-94,0.667,0.0,0.0,0.333
