cwe,TruePositiveRate,TrueNegativeRate,FalsePositiveRate,FalseNegativeRate
CWE-119,0.65,0.0,0.0,0.35
CWE-20,0.375,0.0,0.0,0.625
CWE-269,0.0,0.0,0.0,1.0
CWE-287,1.0,0.0,0.0,0.0
CWE-362,0.2307692307692307,0.0,0.0,0.7692307692307693
CWE-787,0.7272727272727273,0.0,0.0,0.2727272727272727
CWE-94,0.6666666666666666,0.0,0.0,0.3333333333333333
