cwe,Accuracy,Precision,Recall,F1Score,AUC,AvgConfidence
CWE-119,0.65,1.0,0.65,0.7878787878787878,0.0,0.8550000000000001
CWE-20,0.375,1.0,0.375,0.5454545454545454,0.0,0.8437500000000001
CWE-269,0.0,0.0,0.0,0.0,0.0,0.9
CWE-287,1.0,1.0,1.0,1.0,0.0,0.8500000000000001
CWE-362,0.2307692307692307,1.0,0.2307692307692307,0.375,0.0,0.8769230769230769
CWE-787,0.7272727272727273,1.0,0.7272727272727273,0.8421052631578947,0.0,0.8272727272727274
CWE-94,0.6666666666666666,1.0,0.6666666666666666,0.8,0.0,0.8333333333333334
