cwe,TruePositiveRate,TrueNegativeRate,FalsePositiveRate,FalseNegativeRate
CWE-104,0.0,1.0,0.0,1.0
CWE-1069,1.0,1.0,0.0,0.0
CWE-1255,1.0,0.0,0.0,0.0
CWE-135,1.0,0.0,0.0,0.0
CWE-300,1.0,0.0,0.0,0.0
CWE-307,1.0,0.0,1.0,0.0
CWE-309,1.0,0.0,0.0,0.0
CWE-336,1.0,0.0,0.0,0.0
CWE-338,1.0,0.0,0.0,0.0
CWE-594,1.0,1.0,0.0,0.0
CWE-763,1.0,0.0,1.0,0.0
CWE-790,1.0,0.0,0.0,0.0
CWE-797,1.0,0.0,0.0,0.0
CWE-799,1.0,0.0,1.0,0.0
CWE-909,1.0,1.0,0.0,0.0
CWE-95,1.0,1.0,0.0,0.0
