cwe,TruePositive,TrueNegative,FalsePositive,FalseNegative
CWE-104,0.0,1.0,0.0,1.0
CWE-1069,1.0,1.0,0.0,0.0
CWE-1255,2.0,0.0,0.0,0.0
CWE-135,1.0,0.0,0.0,0.0
CWE-300,1.0,0.0,0.0,0.0
CWE-307,3.0,0.0,1.0,0.0
CWE-309,2.0,0.0,0.0,0.0
CWE-336,2.0,0.0,0.0,0.0
CWE-338,2.0,0.0,0.0,0.0
CWE-594,1.0,1.0,0.0,0.0
CWE-763,4.0,0.0,3.0,0.0
CWE-790,1.0,0.0,0.0,0.0
CWE-797,1.0,0.0,0.0,0.0
CWE-799,1.0,0.0,1.0,0.0
CWE-909,4.0,2.0,0.0,0.0
CWE-95,2.0,1.0,0.0,0.0
