true_cwe,P-C,P-V,P-B,P-R
CWE-119,6,5,1,1
CWE-125,7,11,13,8
CWE-190,3,1,4,1
CWE-20,1,4,2,4
CWE-22,1,0,0,5
CWE-269,0,2,1,1
CWE-276,0,1,0,1
CWE-362,2,3,2,1
CWE-416,7,6,3,3
CWE-476,9,8,11,6
CWE-787,20,10,13,14
CWE-79,1,0,1,0
CWE-862,1,0,0,0
CWE-863,0,0,0,1
CWE-94,0,0,0,2
