cwe,TruePositiveRate,TrueNegativeRate,FalsePositiveRate,FalseNegativeRate
CWE-119,1.0,0.0,0.0,0.0
CWE-121,1.0,0.0,0.0,0.0
CWE-122,1.0,0.0,0.0,0.0
CWE-190,1.0,0.0,0.0,0.0
CWE-362,0.8,0.0,0.0,0.2
CWE-401,1.0,0.0,0.0,0.0
CWE-415,1.0,0.0,0.0,0.0
CWE-416,1.0,0.0,0.0,0.0
CWE-77,1.0,0.0,0.0,0.0
