true_cwe,P-C,P-V,P-B,P-R
CWE-119,2,5,5,1
CWE-125,13,6,9,11
CWE-190,0,2,4,3
CWE-20,1,3,3,3
CWE-22,1,2,1,2
CWE-269,3,1,0,0
CWE-276,1,0,0,1
CWE-362,2,4,2,0
CWE-416,2,3,9,5
CWE-476,12,5,9,8
CWE-787,16,19,12,10
CWE-79,0,0,2,0
CWE-862,0,1,0,0
CWE-863,0,0,0,1
CWE-94,0,0,2,0
