cwe,TruePositive,TrueNegative,FalsePositive,FalseNegative
CWE-119,15.0,0.0,0.0,0.0
CWE-121,16.0,0.0,0.0,0.0
CWE-122,15.0,0.0,0.0,0.0
CWE-190,15.0,0.0,0.0,0.0
CWE-362,12.0,0.0,0.0,3.0
CWE-401,15.0,0.0,0.0,0.0
CWE-415,15.0,0.0,0.0,0.0
CWE-416,15.0,0.0,0.0,0.0
CWE-77,15.0,0.0,0.0,0.0
