cwe,Accuracy,Precision,Recall,F1Score,AUC,AvgConfidence
CWE-119,1.0,1.0,1.0,1.0,0.0,0.893
CWE-121,1.0,1.0,1.0,1.0,0.0,0.9
CWE-122,1.0,1.0,1.0,1.0,0.0,0.9
CWE-190,1.0,1.0,1.0,1.0,0.0,0.9
CWE-362,0.8,1.0,0.8,0.889,0.0,0.887
CWE-401,1.0,1.0,1.0,1.0,0.0,0.88
CWE-415,1.0,1.0,1.0,1.0,0.0,0.893
CWE-416,1.0,1.0,1.0,1.0,0.0,0.893
CWE-77,1.0,1.0,1.0,1.0,0.0,0.9
