cwe,Metric,Rate
Unknown CWE,True Positive Rate,0.8461538461538461
Unknown CWE,True Negative Rate,0.23076923076923078
Unknown CWE,False Positive Rate,0.7692307692307693
Unknown CWE,False Negative Rate,0.15384615384615385
