true_cwe,TruePositive,TrueNegative,FalsePositive,FalseNegative
CWE-119,11.0,7.0,6.0,2.0
CWE-125,18.0,20.0,19.0,21.0
CWE-190,4.0,7.0,2.0,5.0
CWE-20,5.0,3.0,8.0,6.0
CWE-22,1.0,1.0,4.0,5.0
CWE-269,2.0,1.0,3.0,2.0
CWE-276,1.0,0.0,2.0,1.0
CWE-362,5.0,4.0,4.0,3.0
CWE-416,13.0,10.0,9.0,6.0
CWE-434,0.0,1.0,0.0,0.0
CWE-476,17.0,20.0,14.0,17.0
CWE-787,30.0,33.0,24.0,27.0
CWE-79,1.0,2.0,0.0,1.0
CWE-862,1.0,1.0,0.0,0.0
CWE-863,0.0,0.0,1.0,1.0
CWE-94,0.0,0.0,2.0,2.0
