true_cwe,TruePositive,TrueNegative,FalsePositive,FalseNegative
CWE-119,7.0,7.0,6.0,6.0
CWE-125,19.0,22.0,17.0,20.0
CWE-190,2.0,4.0,5.0,7.0
CWE-20,4.0,5.0,6.0,6.0
CWE-22,3.0,2.0,3.0,3.0
CWE-269,4.0,3.0,1.0,0.0
CWE-276,1.0,1.0,1.0,1.0
CWE-362,6.0,4.0,4.0,2.0
CWE-416,5.0,11.0,8.0,14.0
CWE-434,0.0,1.0,0.0,0.0
CWE-476,17.0,21.0,13.0,17.0
CWE-787,35.0,28.0,29.0,22.0
CWE-79,0.0,2.0,0.0,2.0
CWE-862,1.0,0.0,1.0,0.0
CWE-863,0.0,0.0,1.0,1.0
CWE-94,0.0,2.0,0.0,2.0
