cwe,TruePositive,TrueNegative,FalsePositive,FalseNegative
CWE-119,1.0,0.0,1.0,0.0
CWE-125,1.0,8.0,2.0,9.0
CWE-190,3.0,6.0,0.0,3.0
CWE-20,0.0,2.0,0.0,2.0
CWE-269,1.0,0.0,1.0,0.0
CWE-276,2.0,0.0,2.0,0.0
CWE-362,2.0,1.0,1.0,0.0
CWE-416,3.0,3.0,4.0,4.0
CWE-476,9.0,5.0,13.0,9.0
CWE-787,11.0,4.0,9.0,2.0
CWE-862,0.0,1.0,0.0,1.0
