cwe,P-C,P-V,P-B,P-R
CWE-125,0,1,0,0
CWE-354,1,0,0,0
CWE-369,0,2,0,0
CWE-476,3,1,0,0
CWE-617,2,1,0,0
CWE-787,0,1,0,0
CWE-843,0,1,0,0
CWE-909,1,0,0,0
