cwe,Accuracy,Precision,Recall,F1 Score,AUC,Avg Confidence
CWE-125,0.0,0.0,0.0,0.0,0.0,0.8
CWE-190,0.25,0.0,0.0,0.0,0.25,0.875
CWE-401,0.25,0.0,0.0,0.0,0.125,0.825
CWE-476,0.5,0.5,1.0,0.6666666666666666,0.6666666666666667,0.8500000000000001
CWE-617,0.25,0.0,0.0,0.0,0.25,0.875
CWE-909,0.0,0.0,0.0,0.0,0.0,0.8
