Metric,Count,Score
TP,3.0,
TN,3.0,
FP,8.0,
FN,8.0,
Accuracy,,0.2727272727272727
Precision,,0.2727272727272727
Recall,,0.2727272727272727
F1 Score,,0.2727272727272727
AUC,,0.3223140495867769
Avg Confidence,,0.8454545454545453
