cwe,P-C,P-V,P-B,P-R
CWE-119,0,1,0,0
CWE-125,1,0,7,2
CWE-190,3,0,3,0
CWE-20,0,0,2,0
CWE-269,0,1,0,0
CWE-276,0,2,0,0
CWE-362,1,1,0,0
CWE-416,0,3,3,1
CWE-476,2,7,3,6
CWE-787,2,9,2,0
CWE-862,0,0,1,0
